Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
add_7,VECadd,"[['VECadd', (8192, 512)]]","[['MEM', ((8192, 512),)], ['MEM', ((8192, 512),)]]",[],"{""'mul_3"", ""'model_decoder_layers_0_self_attn_k_proj_base_layer""}",{'to_'},"[(4, 2048, 512), (4, 2048, 512)]","(4, 2048, 512)",True,0
getattr_11,misc,[],[],[],"{""'model_decoder_layers_0_self_attn_k_proj_base_layer""}",{'to_'},"[(4, 2048, 512)]","(1,)",True,0
to_7,misc,[],[],[],"{""'getattr_11"", ""'add_7""}",{'view_'},"[(4, 2048, 512), (1,)]","(4, 2048, 512)",True,0
view_2,misc,[],[],[],"{""'to_7"", ""'getitem_11""}",{'transpos'},"[(4, 2048, 512), (1,)]","(4, 2048, 8, 64)",True,0
transpose,misc,[],[],[],"{""'view_2""}",{'contiguou'},"[(4, 2048, 8, 64)]","(4, 8, 2048, 64)",True,0
contiguous,contiguous,"[['MEM', ((4, 8, 2048, 64), (4, 8, 2048, 64))]]","[['MEM', ((4, 8, 2048, 64),)], ['MEM', ((4, 8, 2048, 64),)]]",[],"{""'transpose""}","{'view_', 'outpu'}","[(4, 8, 2048, 64)]","(4, 8, 2048, 64)",True,0
model_decoder_layers_0_self_attn_v_proj_base_layer,Linear,"[['Linear', (8192, 512, 512)]]","[['Linear', (8192, 512, 512)]]",[],"{""'model_decoder_layers_0_self_attn_layer_norm""}","{'add_', 'getattr_1'}","[(4, 2048, 512)]","(4, 2048, 512)",False,0
model_decoder_layers_0_self_attn_v_proj_lora_a_default_weight,misc,[],[],[],set(),{'getattr_1'},[],"(16, 512)",True,0
getattr_12,misc,[],[],[],"{""'model_decoder_layers_0_self_attn_v_proj_lora_a_default_weight""}",{'to_'},"[(16, 512)]","(1,)",True,0
to_8,misc,[],[],[],"{""'getattr_12"", ""'model_decoder_layers_0_self_attn_layer_norm""}",{'model_decoder_layers_0_self_attn_v_proj_lora_dropout_defaul'},"[(4, 2048, 512), (1,)]","(4, 2048, 512)",True,0
model_decoder_layers_0_self_attn_v_proj_lora_dropout_default,dropout,"[['MEM', ((4, 2048, 512), (4, 2048, 512))]]","[['MEM', ((4, 2048, 512),)], ['MEM', ((4, 2048, 512),)]]",[],"{""'to_8""}",{'model_decoder_layers_0_self_attn_v_proj_lora_a_defaul'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
model_decoder_layers_0_self_attn_v_proj_lora_a_default,Linear,"[['Linear', (8192, 512, 16)]]","[['Linear', (8192, 16, 512)], ['Linear', (16, 8192, 512)]]","[['VECadd', [1, 8192]], ['VECadd', [1, 16]]]","{""'model_decoder_layers_0_self_attn_v_proj_lora_dropout_default""}",{'model_decoder_layers_0_self_attn_v_proj_lora_b_defaul'},"[(4, 2048, 512)]","(4, 2048, 16)",True,0
model_decoder_layers_0_self_attn_v_proj_lora_b_default,Linear,"[['Linear', (8192, 16, 512)]]","[['Linear', (8192, 512, 16)], ['Linear', (512, 8192, 16)]]","[['VECadd', [1, 8192]], ['VECadd', [1, 512]]]","{""'model_decoder_layers_0_self_attn_v_proj_lora_a_default""}",{'mul_'},"[(4, 2048, 16)]","(4, 2048, 512)",True,0
mul_4,VECmulu,"[['VECmulu', (8192, 512)]]","[['VECmulu', (8192, 512)]]",[],"{""'model_decoder_layers_0_self_attn_v_proj_lora_b_default""}",{'add_'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
add_8,VECadd,"[['VECadd', (8192, 512)]]","[['MEM', ((8192, 512),)], ['MEM', ((8192, 512),)]]",[],"{""'model_decoder_layers_0_self_attn_v_proj_base_layer"", ""'mul_4""}",{'to_'},"[(4, 2048, 512), (4, 2048, 512)]","(4, 2048, 512)",True,0
getattr_13,misc,[],[],[],"{""'model_decoder_layers_0_self_attn_v_proj_base_layer""}",{'to_'},"[(4, 2048, 512)]","(1,)",True,0
to_9,misc,[],[],[],"{""'add_8"", ""'getattr_13""}",{'view_'},"[(4, 2048, 512), (1,)]","(4, 2048, 512)",True,0
view_3,misc,[],[],[],"{""'getitem_11"", ""'to_9""}",{'transpose_'},"[(4, 2048, 512), (1,)]","(4, 2048, 8, 64)",True,0
transpose_1,misc,[],[],[],"{""'view_3""}",{'contiguous_'},"[(4, 2048, 8, 64)]","(4, 8, 2048, 64)",True,0
contiguous_1,contiguous,"[['MEM', ((4, 8, 2048, 64), (4, 8, 2048, 64))]]","[['MEM', ((4, 8, 2048, 64),)], ['MEM', ((4, 8, 2048, 64),)]]",[],"{""'transpose_1""}","{'view_', 'outpu'}","[(4, 8, 2048, 64)]","(4, 8, 2048, 64)",True,0
mul_5,misc,[],[],[],"{""'getitem_11""}",{'view_'},"[(1,)]","(1,)",True,0
view_4,misc,[],[],[],"{""'getitem_12"", ""'mul_2"", ""'getitem_11""}",{'transpose_'},"[(4, 2048, 512), (1,), (1,)]","(4, 2048, 8, 64)",True,0
transpose_2,misc,[],[],[],"{""'view_4""}",{'contiguous_'},"[(4, 2048, 8, 64)]","(4, 8, 2048, 64)",True,0
