input_shapes,input_contiguous,contiguous,output_shape,dtype,Name,meta,module_path,linear_weight_trainable,lora_rank,_input_nodes,users
"[[2, 1, 1024, 1024]]",[True],True,"(2, 1, 1024, 1024)",torch.bool,bool_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['to_3'],[masked_fill_1]
[[1]],[True],True,"(1,)",,finfo_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['getattr_2'],[getattr_7]
[[1]],[True],True,"(1,)",,getattr_7,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,['finfo_2'],[masked_fill_1]
"[[2, 1, 1024, 1024], [2, 1, 1024, 1024], [1]]","[False, True, True]",True,"(2, 1, 1024, 1024)",torch.float32,masked_fill_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['expand', 'bool_1', 'getattr_7']","[size_9, add_9]"
"[[2, 1024]]",[True],True,"(2, 1024)",torch.int64,long,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,['ones'],"[cumsum, type_as, mul]"
"[[2, 1024]]",[True],True,"(2, 1024)",torch.int64,cumsum,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,['long'],[type_as]
"[[2, 1024], [2, 1024]]","[True, True]",True,"(2, 1024)",torch.int64,type_as,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,"['cumsum', 'long']",[mul]
"[[2, 1024], [2, 1024]]","[True, True]",True,"(2, 1024)",torch.int64,mul,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,"['type_as', 'long']",[long_1]
"[[2, 1024]]",[True],True,"(2, 1024)",torch.int64,long_1,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,['mul'],[sub_2]
"[[2, 1024]]",[True],True,"(2, 1024)",torch.int64,sub_2,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,['long_1'],[getitem_10]
"[[2, 1024]]",[True],True,"(2, 1024)",torch.int64,getitem_10,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,['sub_2'],[add_4]
"[[2, 1024]]",[True],True,"(2, 1024)",torch.int64,add_4,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,['getitem_10'],[embedding]
[],[],True,"(2050, 512)",torch.float32,model_decoder_embed_positions_weight,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,[],[embedding]
"[[2, 1024], [2050, 512]]","[True, True]",True,"(2, 1024, 512)",torch.float32,embedding,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.embed_positions': ('model.decoder.embed_positions', <class 'transformers.models.opt.modeling_opt.OPTLearnedPositionalEmbedding'>)})}",model.decoder.embed_positions,False,0,"['add_4', 'model_decoder_embed_positions_weight']",[add_5]
"[[2, 1024, 2048]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_project_in,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.project_in': ('model.decoder.project_in', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.project_in,False,0,['model_decoder_embed_tokens'],[add_5]
"[[2, 1024, 512], [2, 1024, 512]]","[True, True]",True,"(2, 1024, 512)",torch.float32,add_5,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>)})}",model.decoder,True,0,"['model_decoder_project_in', 'embedding']","[model_decoder_layers_0_self_attn_layer_norm, add_10]"
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_layer_norm,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn_layer_norm': ('model.decoder.layers.0.self_attn_layer_norm', <class 'torch.nn.modules.normalization.LayerNorm'>)})}",model.decoder.layers.0.self_attn_layer_norm,False,0,['add_5'],"[size_6, model_decoder_layers_0_self_attn_q_proj_base_layer, to_4, model_decoder_layers_0_self_attn_k_proj_base_layer, to_6, model_decoder_layers_0_self_attn_v_proj_base_layer, to_8]"
"[[2, 1024, 512]]",[True],True,"(1,)",,size_6,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['model_decoder_layers_0_self_attn_layer_norm'],"[getitem_11, getitem_12, getitem_13]"
[[1]],[True],True,"(1,)",,getitem_11,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['size_6'],"[view_2, view_3, mul_5, view_4, mul_6, ne_1, view_8, mul_7, mul_8, view_10, reshape]"
[[1]],[True],True,"(1,)",,getitem_12,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['size_6'],"[view_4, ne, ne_1, view_8, view_9, ne_2, view_10, reshape]"
[[1]],[True],True,"(1,)",,getitem_13,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>)})}",model.decoder.layers.0.self_attn,True,0,['size_6'],[]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_q_proj_base_layer,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.q_proj.base_layer': ('model.decoder.layers.0.self_attn.q_proj.base_layer', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj.base_layer,False,0,['model_decoder_layers_0_self_attn_layer_norm'],"[add_6, getattr_9]"
[],[],True,"(16, 512)",torch.float32,model_decoder_layers_0_self_attn_q_proj_lora_a_default_weight,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,[],[getattr_8]
"[[16, 512]]",[True],True,"(1,)",,getattr_8,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,['model_decoder_layers_0_self_attn_q_proj_lora_a_default_weight'],[to_4]
"[[2, 1024, 512], [1]]","[True, True]",True,"(2, 1024, 512)",torch.float32,to_4,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj,True,0,"['model_decoder_layers_0_self_attn_layer_norm', 'getattr_8']",[model_decoder_layers_0_self_attn_q_proj_lora_dropout_default]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 512)",torch.float32,model_decoder_layers_0_self_attn_q_proj_lora_dropout_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.q_proj.lora_dropout.default': ('model.decoder.layers.0.self_attn.q_proj.lora_dropout.default', <class 'torch.nn.modules.linear.Identity'>)})}",model.decoder.layers.0.self_attn.q_proj.lora_dropout.default,True,0,['to_4'],[model_decoder_layers_0_self_attn_q_proj_lora_a_default]
"[[2, 1024, 512]]",[True],True,"(2, 1024, 16)",torch.float32,model_decoder_layers_0_self_attn_q_proj_lora_a_default,"{'nn_module_stack': OrderedDict({'model.decoder': ('model.decoder', <class 'transformers.models.opt.modeling_opt.OPTDecoder'>), 'model.decoder.layers.0': ('model.decoder.layers.0', <class 'transformers.models.opt.modeling_opt.OPTDecoderLayer'>), 'model.decoder.layers.0.self_attn': ('model.decoder.layers.0.self_attn', <class 'transformers.models.opt.modeling_opt.OPTAttention'>), 'model.decoder.layers.0.self_attn.q_proj': ('model.decoder.layers.0.self_attn.q_proj', <class 'peft.tuners.lora.layer.Linear'>), 'model.decoder.layers.0.self_attn.q_proj.lora_A.default': ('model.decoder.layers.0.self_attn.q_proj.lora_A.default', <class 'torch.nn.modules.linear.Linear'>)})}",model.decoder.layers.0.self_attn.q_proj.lora_A.default,True,0,['model_decoder_layers_0_self_attn_q_proj_lora_dropout_default'],[model_decoder_layers_0_self_attn_q_proj_lora_b_default]
