op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
get_attr,encoder.block.13.layer.0.layer_norm.weight,{},(),{},"{getattr_110: None, mul_80: None}",,mul_79,getattr_110,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[],[],True,0.0,0.0,0.0,0.0,"(1024,)",torch.float32,encoder_block_13_layer_0_layer_norm_weight
call_function,<built-in function getattr>,{encoder_block_13_layer_0_layer_norm_weight: None},"(encoder_block_13_layer_0_layer_norm_weight, 'dtype')",{},"{eq_94: None, eq_95: None}",,encoder_block_13_layer_0_layer_norm_weight,eq_94,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[[1024]],[True],True,0.006399999931454658,0.006399999931454658,0.0,0.0,"(1,)",,getattr_110
call_function,<built-in function eq>,{getattr_110: None},"(getattr_110, torch.float16)",{},{},,getattr_110,eq_95,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[[1]],[True],True,0.006367999967187643,0.006367999967187643,0.0,0.0,"(1,)",,eq_94
call_function,<built-in function eq>,{getattr_110: None},"(getattr_110, torch.bfloat16)",{},{},,eq_94,mul_80,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[[1]],[True],True,0.00629119984805584,0.00629119984805584,0.0,0.0,"(1,)",,eq_95
call_function,<built-in function mul>,"{encoder_block_13_layer_0_layer_norm_weight: None, mul_79: None}","(encoder_block_13_layer_0_layer_norm_weight, mul_79)",{},"{size_20: None, encoder_block_13_layer_0_self_attention_q: None, encoder_block_13_layer_0_self_attention_k: None, encoder_block_13_layer_0_self_attention_v: None}",,eq_95,size_20,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1024], [1, 512, 1024]]","[True, True]",True,0.03183360006660223,0.01288319993764162,0.01895040012896061,0.0,"(1, 512, 1024)",torch.float32,mul_80
call_method,size,{mul_80: None},"(mul_80,)",{},{getitem_135: None},,mul_80,getitem_135,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.SelfAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}","[[1, 512, 1024]]",[True],True,0.006572800036519766,0.006572800036519766,0.0,0.0,"(1,)",,size_20
call_function,<built-in function getitem>,{size_20: None},"(size_20, slice(None, 2, None))",{},"{getitem_136: None, getitem_137: None}",,size_20,getitem_136,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.SelfAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}",[[1]],[True],True,0.0065727999433875086,0.0065727999433875086,0.0,0.0,"(1,)",,getitem_135
call_function,<built-in function getitem>,{getitem_135: None},"(getitem_135, 0)",{},"{view_53: None, view_54: None, view_55: None, view_56: None}",,getitem_135,getitem_137,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.SelfAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}",[[1]],[True],True,0.006207999959588051,0.006207999959588051,0.0,0.0,"(1,)",,getitem_136
call_function,<built-in function getitem>,{getitem_135: None},"(getitem_135, 1)",{},{},,getitem_136,encoder_block_13_layer_0_self_attention_q,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.SelfAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>)])}",[[1]],[True],True,0.006419199891388417,0.006419199891388417,0.0,0.0,"(1,)",,getitem_137
call_module,encoder.block.13.layer.0.SelfAttention.q,{mul_80: None},"(mul_80,)",{},{view_53: None},,getitem_137,view_53,False,,"{'nn_module_stack': OrderedDict([('encoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('encoder.block.13', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('encoder.block.13.layer.0', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerSelfAttention'>), ('encoder.block.13.layer.0.SelfAttention', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersAttention'>), ('encoder.block.13.layer.0.SelfAttention.q', <class 'torch.nn.modules.linear.Linear'>)])}","[[1, 512, 1024]]",[True],True,0.3655871958006173,0.12607999742031098,0.21926399846561254,0.02024319991469383,"(1, 512, 4096)",torch.float32,encoder_block_13_layer_0_self_attention_q
