op,target,_input_nodes,_args,_kwargs,users,type,_prev,_next,_erased,_repr_fn,meta,input_shapes,input_contiguous,contiguous,latency,fw_latency,bw_latency,acc_latency,output_shape,dtype,Name
call_function,<built-in function eq>,{getattr_385: None},"(getattr_385, torch.float16)",{},{},,getattr_385,to_146,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>)])}",[[1]],[True],True,0.006438399944454431,0.006438399944454431,0,0,"(1,)",,eq_344
call_method,to,{add_262: None},"(add_262, torch.float32)",{},{pow_100: None},,eq_344,pow_100,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024]]",[True],True,0.006784000061452388,0.006784000061452388,0,0,"(1, 512, 1024)",torch.float32,to_146
call_method,pow,{to_146: None},"(to_146, 2)",{},{mean_99: None},,to_146,mean_99,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024]]",[True],True,0.012320000119507313,0.012320000119507313,0,0,"(1, 512, 1024)",torch.float32,pow_100
call_method,mean,{pow_100: None},"(pow_100, -1)",{'keepdim': True},{add_263: None},,pow_100,add_263,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024]]",[True],True,0.013350399769842624,0.013350399769842624,0,0,"(1, 512, 1)",torch.float32,mean_99
call_function,<built-in function add>,{mean_99: None},"(mean_99, 1e-06)",{},{rsqrt_99: None},,mean_99,rsqrt_99,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1]]",[True],True,0.013222399912774564,0.013222399912774564,0,0,"(1, 512, 1)",torch.float32,add_263
call_function,<built-in method rsqrt of type object at 0x15552dc96d80>,{add_263: None},"(add_263,)",{},{mul_265: None},,add_263,mul_265,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1]]",[True],True,0.012224000319838524,0.012224000319838524,0,0,"(1, 512, 1)",torch.float32,rsqrt_99
call_function,<built-in function mul>,"{add_262: None, rsqrt_99: None}","(add_262, rsqrt_99)",{},{mul_266: None},,rsqrt_99,decoder_block_16_layer_2_layer_norm_weight,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}","[[1, 512, 1024], [1, 512, 1]]","[True, True]",True,0.012729600071907043,0.012729600071907043,0,0,"(1, 512, 1024)",torch.float32,mul_265
get_attr,decoder.block.16.layer.2.layer_norm.weight,{},(),{},"{getattr_386: None, mul_266: None}",,mul_265,getattr_386,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[],[],True,0.0,0.0,0,0,"(1024,)",torch.float32,decoder_block_16_layer_2_layer_norm_weight
call_function,<built-in function getattr>,{decoder_block_16_layer_2_layer_norm_weight: None},"(decoder_block_16_layer_2_layer_norm_weight, 'dtype')",{},"{eq_345: None, eq_346: None}",,decoder_block_16_layer_2_layer_norm_weight,eq_345,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[[1024]],[True],True,0.00632959995418787,0.00632959995418787,0,0,"(1,)",,getattr_386
call_function,<built-in function eq>,{getattr_386: None},"(getattr_386, torch.float16)",{},{},,getattr_386,eq_346,False,,"{'nn_module_stack': OrderedDict([('decoder', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersStack'>), ('decoder.block.16', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersBlock'>), ('decoder.block.16.layer.2', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerFF'>), ('decoder.block.16.layer.2.layer_norm', <class 'transformers.models.switch_transformers.modeling_switch_transformers.SwitchTransformersLayerNorm'>)])}",[[1]],[True],True,0.006348799820989371,0.006348799820989371,0,0,"(1,)",,eq_345
